V;V_err;I;I_err
50;5.244044241;0.005;0.0010375
60;5.337602458;0.008;0.00106
70;5.446099522;0.01;0.001075
75;5.505678886;0.012;0.00109
80;5.568662317;0.014;0.001105
90;5.704384279;0.018;0.001135
100;5.852349955;0.025;0.0011875
110;6.011655346;0.032;0.00124
120;6.181423784;0.042;0.001315
125;6.269968102;0.046;0.001345
130;6.360817558;0.054;0.001405
140;6.549045732;0.066;0.001495
150;6.745368782;0.084;0.00163
160;6.949100661;0.101;0.0017575
170;7.159608928;0.126;0.001945
175;7.376313442;0.14;0.00214
180;7.267220927;0.152;0.00205
190;7.598684097;0.189;0.0024175
200;7.826237921;0.234;0.002755
225;8.41501634;0.359;0.0036925
250;9.027735043;0.585;0.0053875
275;9.659839543;0.89;0.007675
300;10.30776406;1.362;0.011215
