$ -0.050 \pm 0.005 $	&0.01	&$ -0.310 \pm 0.015 $	&60.00	\\ 
$ -0.100 \pm 0.010 $	&0.02	&$ -1.00 \pm 0.03 $	&60.00	\\ 
$ -0.20 \pm 0.02 $	&0.05	&$ -2.69 \pm 0.05 $	&60.00	\\ 
$ -0.30 \pm 0.03 $	&0.05	&$ -4.75 \pm 0.08 $	&60.00	\\ 
$ -0.40 \pm 0.04 $	&0.10	&$ -6.68 \pm 0.11 $	&60.00	\\ 
$ -0.50 \pm 0.05 $	&0.10	&$ -8.89 \pm 0.14 $	&60.00	\\ 
$ -0.60 \pm 0.06 $	&0.10	&$ -11.05 \pm 0.18 $	&60.00	\\ 
$ -0.68 \pm 0.07 $	&0.20	&$ -12.22 \pm 0.19 $	&60.00	\\ 
$ -0.80 \pm 0.08 $	&0.20	&$ -14.2 \pm 0.2 $	&60.00	\\ 
$ -0.88 \pm 0.09 $	&0.20	&$ -15.1 \pm 0.2 $	&60.00	\\ 
$ -1.00 \pm 0.10 $	&0.20	&$ -15.7 \pm 0.2 $	&60.00	\\ 
$ -1.12 \pm 0.12 $	&0.20	&$ -15.9 \pm 0.2 $	&60.00	\\ 
$ -1.30 \pm 0.14 $	&0.50	&$ -16.2 \pm 0.3 $	&60.00	\\ 
$ -1.40 \pm 0.15 $	&0.50	&$ -16.3 \pm 0.3 $	&60.00	\\ 
$ -1.60 \pm 0.17 $	&0.50	&$ -16.5 \pm 0.3 $	&60.00	\\ 
$ -1.70 \pm 0.18 $	&0.50	&$ -16.6 \pm 0.3 $	&60.00	\\ 
$ -1.90 \pm 0.20 $	&0.50	&$ -16.8 \pm 0.3 $	&60.00	\\ 
$ -2.0 \pm 0.2 $	&0.50	&$ -16.9 \pm 0.3 $	&60.00	\\ 
$ -2.2 \pm 0.2 $	&0.50	&$ -17.1 \pm 0.3 $	&60.00	\\ 
$ -2.3 \pm 0.2 $	&0.50	&$ -17.1 \pm 0.3 $	&60.00	\\ 
$ -2.5 \pm 0.3 $	&0.50	&$ -17.3 \pm 0.3 $	&60.00	\\ 
$ -2.6 \pm 0.3 $	&0.50	&$ -17.4 \pm 0.3 $	&60.00	\\ 
$ -2.8 \pm 0.3 $	&0.50	&$ -17.6 \pm 0.3 $	&60.00	\\ 
$ -2.9 \pm 0.3 $	&0.50	&$ -17.7 \pm 0.3 $	&60.00	\\ 
$ -3.1 \pm 0.3 $	&1.00	&$ -17.8 \pm 0.3 $	&60.00	\\ 
$ -3.2 \pm 0.3 $	&1.00	&$ -17.9 \pm 0.3 $	&60.00	\\ 
$ -3.4 \pm 0.4 $	&1.00	&$ -18.0 \pm 0.3 $	&60.00	\\ 
$ -3.6 \pm 0.4 $	&1.00	&$ -18.1 \pm 0.3 $	&60.00	\\ 
$ -3.7 \pm 0.4 $	&1.00	&$ -18.1 \pm 0.3 $	&60.00	\\ 
$ -3.8 \pm 0.4 $	&1.00	&$ -18.2 \pm 0.3 $	&60.00	\\ 
$ -4.0 \pm 0.4 $	&1.00	&$ -18.2 \pm 0.3 $	&60.00	\\ 
