V;FscalV;V_err;I;FscalI;I_err;;;;;;
-0.05;0.01;0.005244044;-0.37;60;0.02555;;;;;;
-0.1;0.02;0.010452272;-1.19;60;0.03785;;;;;;
-0.2;0.05;0.020886599;-3.09;60;0.06635;;;;;;
-0.3;0.05;0.03132491;-5.25;60;0.09875;;;;;;
-0.4;0.1;0.041764219;-7.45;60;0.13175;;;;;;
-0.5;0.1;0.052203927;-9.81;60;0.16715;;;;;;
-0.6;0.1;0.062643834;-12.19;60;0.20285;;;;;;
-0.68;0.2;0.070995845;-13.95;60;0.22925;;;;;;
-0.8;0.2;0.083523949;-16.8;60;0.272;;;;;;
-0.88;0.2;0.091876058;-18.56;60;0.2984;;;;;;
-1;0.2;0.104404262;-20.85;60;0.33275;;;;;;
-1.12;0.2;0.116932502;-22.61;60;0.35915;;;;;;
-1.3;0.5;0.135724906;-24.4;60;0.386;;;;;;
-1.4;0.5;0.146165146;-25.11;60;0.39665;;;;;;
-1.6;0.5;0.167045652;-25.94;60;0.4091;;;;;;
-1.7;0.5;0.177485915;-26.19;60;0.41285;;;;;;
-1.9;0.5;0.198366454;-26.62;60;0.4193;;;;;;
-2;0.5;0.208806729;-26.87;60;0.42305;;;;;;
-2.2;0.5;0.229687287;-27.2;60;0.428;;;;;;
-2.3;0.5;0.24012757;-27.43;60;0.43145;;;;;;
-2.5;0.5;0.261008142;-27.75;60;0.43625;;;;;;
-2.6;0.5;0.27144843;-27.9;60;0.4385;;;;;;
-2.8;0.5;0.29232901;-28.24;60;0.4436;;;;;;
-2.9;0.5;0.302769302;-28.38;60;0.4457;;;;;;
-3.1;1;0.323649888;-28.79;60;0.45185;;;;;;
-3.2;1;0.334090182;-28.93;60;0.45395;;;;;;
-3.4;1;0.354970773;-29.17;60;0.45755;;;;;;
-3.6;1;0.375851367;-29.5;60;0.4625;;;;;;
-3.7;1;0.386291664;-29.65;60;0.46475;;;;;;
-3.8;1;0.396731962;-29.8;60;0.467;;;;;;
-4;1;0.41761256;-30.42;60;0.4763;;;;;;
